Title,Link,Price,MRP,Discount,Image_URL
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=mp_s_a_1_11?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-11,N/A,"₹85,000",(57% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office 2024, Platinum Silver, 1.67 kg, Thin & Light Laptop",https://www.amazon.in/Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=mp_s_a_1_12?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-12,N/A,"₹58,465",(27% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
HP 255 G10 Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-13,N/A,"₹30,336",(25% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty",https://www.amazon.in/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-14,N/A,"₹70,000",(34% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDM5Mjk2MzMzMDIzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0DLHGHK9R%2Fref%3Dmp_s_a_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&cr=DUB,N/A,"₹1,74,900",(4% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"HP 15, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDU1OTY2MTEwNTgzMjo6MDo6&url=%2FHP-i5-1335U-Anti-Glare-Micro-edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dmp_s_a_1_16_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&cr=DUB,N/A,"₹72,112",(8% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"HP Pavilion x360, 13th Gen Intel Core i5-1355U (16GB DDR4, 512GB SSD),Touchscreen, IPS, 14-inch(35.6cm)FHD,Win11, M365 Basic(1year),Office Home24, Silver,1.5kg, Iris Xe, Backlit, 5MP Camera, ek1074TU",https://www.amazon.in/HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=mp_s_a_1_17?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-17,N/A,"₹91,615",(21% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=mp_s_a_1_18?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-18,N/A,"₹25,000",(48% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=mp_s_a_1_19?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-19,N/A,"₹79,000",(74% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSYS6B/ref=mp_s_a_1_20?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-20,N/A,"₹29,990",(28% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
